Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
2    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Louis Nor                                  , il y a un an      , 1   , Cellules trs propre juste dommage que lon dois y rentrer en chaussettes personnelles trs gentil en dehors des auditions jai jamais connue un commissariat qui te laisser autant allez fumer pendant ta gav lol merci  vous les poulet                                                                                   ,        ,        , EPINAL
3    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Elisa Dalidec                              , il y a un an      , 1   , Bon voil c fait  de 5h que j attend une patrouille pour tapage nocturne et quand enfin une personne vient sortie de sa voiture et y et remonter directement sans avoir fait quoi que se soit    srieux                                                                                                                  ,        ,        , EPINAL
4    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , alexandre carvajal (Paranormal Vosges 88)  , il y a un an      , 5   , Courage  nos gendarmes                                                                                                                                                                                                                                                                                                  ,        ,        , EPINAL
5    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Gaetan Lecomte                             , il y a un an      , 5   , Personnels trs gentil cellules de GAV trs propres repas digne d un etoil lit trs confortable avec couverture lgrement fine  mais un peu irritantes  Service du matin irrprochable  avec caf du style senseo mais manque petit                                                                                           ,        ,        , EPINAL
6    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Dadoo Jack-Hammer                          , il y a un an      , 5   , Personnel fort sympathique compos dassistantes sociales assistantes maternellesPropret irrprochableCadre sympathique je recommande vivement                                                                                                                                                                             ,        ,        , EPINAL
7    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Cindy Brunet                               , il y a un an      , 4   , Propret  revoir Pour le reste top trs accueillants  lcoute tout ce que lon attend de ce corps de mtier                                                                                                                                                                                                                  ,        ,        , EPINAL
8    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Danielle MB                                , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , EPINAL
9    , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Mimi Le chat                               , il y a 2 ans      , 5   , Tres bien reu                                                                                                                                                                                                                                                                                                           ,        ,        , EPINAL
10   , Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL               , Celine Cheval                              , il y a 2 ans      , 5   , Vous tes juste tellement drles et vous parvenez dans un mme temps  faire passer vos messages de prvention Ne changez rien                                                                                                                                                                                               ,        ,        , EPINAL
1    , Gendarmerie Nationale 20bis Av de la liberté 15000 AURILLAC               , genevieve brayat                           , il y a 8 mois     , 1   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , AURILLAC
2    , Gendarmerie Nationale 20bis Av de la liberté 15000 AURILLAC               , Grégory                                    , il y a 8 mois     , 5   , Trs bien renseign Merci                                                                                                                                                                                                                                                                                                 ,        ,        , AURILLAC
1    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Alvin Poveda                               , il y a un an      , 1   , Ne valide pas les procurations pour voter Inhabituel pour une brigade de gendarmerie Cest pourtant constitutionnelle                                                                                                                                                                                                    , 43.838 , 4.361  , NIMES
2    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Carole Pencole                             , il y a un an      , 5   , Appel pour tapage nocturne ce samedi soir  st hyppolyte du fort problme rgl en une grosse demiheure par lenvoi dune patrouille Bravo et merci  la personne efficace et comprhensive qui ma accueillie au standard  et ce malgr une extinction de voix et encore merci  la patrouille pour la rapidit de son intervention, 43.838 , 4.361  , NIMES
3    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Catarina Fabricante                        , il y a un an      , 2   , Bonjour  Sils vous plat dans le Carr Sud le passage  pitons  ct du rondpoint o il y a Truffaut vers Cultura les gens nous laissent rarement passer parfois ils sarrtent pas de lautre ct quand ils nous voient arriver au                                                                                               , 43.838 , 4.361  , NIMES
4    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Aurore Loubat                              , il y a un an      , 1   , Des surimi c mec la                                                                                                                                                                                                                                                                                                     , 43.838 , 4.361  , NIMES
5    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Audrey Guillot                             , il y a 2 ans      , 5   , Pour une demandes de renseignements sur ce que javais droit ou pas de faire pour un litige je suis tomb sur un gendarme qui avait des notions juridiques et qui a pass 30 minutes  rpondre  mes questions Trs agrable a fait plaisir                                                                                    , 43.838 , 4.361  , NIMES
6    , Gendarmerie Nationale 56 rue Sainte-Geneviève 30000 NIMES                 , Jack Pinocchio 73                          , il y a 2 ans      , 5   , Frres darmes  accueil excellent                                                                                                                                                                                                                                                                                         , 43.838 , 4.361  , NIMES
1    , Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH                , Wiktor Berg                                , il y a 9 mois     , 1   , Attention  Attention  Les policiers de ce commissariat les fraudeurs ont mis une contravention pour le chauffeur dun montant de 1 500 EUR le lendemain ils lont augment  2 250 EUR sans aucune confirmation ils ont forc le chauffeur                                                                                   ,        ,        , AUCH
2    , Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH                , Adelio COSTA                               , il y a 9 mois     , 4   , Ezzeeeeeeeeees                                                                                                                                                                                                                                                                                                          ,        ,        , AUCH
3    , Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH                , Nicolas Baur                               , il y a un an      , 1   , 2358 1re appel au 15 pour signaler un homme qui vient de tomber sur la route  alcoolis 30 minutes plus tard 2 eme appel au 15 qui nous transfert  la gendarmerie dAuch ou une trs gentil dame nous dit clairement de laisser cet homme                                                                                  ,        ,        , AUCH
4    , Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH                , Larisa Drăgușin                            , il y a 2 ans      , 1   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , AUCH
5    , Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH                , L Rigail                                   , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , AUCH
1    , Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR                 , Louis Solesse                              , il y a 7 mois     , 5   , N apprhendez pas d y aller   bon accueil  personnel professionnel et humain                                                                                                                                                                                                                                             ,        ,        , COLMAR
2    , Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR                 , Franck                                     , il y a 8 mois     , 5   , Trs bon accueil tlphonique grand sens du service public rponse adapte  la situation motivant mon appel Ca fait plaisir davoir affaire  des gens professionnels et  lcoute                                                                                                                                               ,        ,        , COLMAR
3    , Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR                 , Nordman Gabin                              , il y a 8 mois     , 1   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , COLMAR
4    , Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR                 , Bryan Pfeifer                              , il y a 9 mois     , 5   , Jai pas encore u l honneur de venir chez vous si se jour a arrive jespre que vous aurais des cellule mieux que le poste de police et des repart dne de votre tablissement                                                                                                                                               ,        ,        , COLMAR
5    , Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR                 , marilyne jost                              , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , COLMAR
1    , Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER           , Grégory                                    , il y a un an      , 5   , Oh Thierry ti est le saaannggg                                                                                                                                                                                                                                                                                          ,        ,        , LONS LE SAUNIER
2    , Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER           , Tom ODWROT                                 , il y a un an      , 5   , Trs bien                                                                                                                                                                                                                                                                                                                ,        ,        , LONS LE SAUNIER
3    , Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER           , Antonin Lopes                              , il y a 2 ans      , 5   , Super gendarme il sont super                                                                                                                                                                                                                                                                                            ,        ,        , LONS LE SAUNIER
4    , Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER           , Maxime Delacroix                           , il y a 2 ans      , 1   , Trs  dcevant                                                                                                                                                                                                                                                                                                            ,        ,        , LONS LE SAUNIER
1    , Gendarmerie Nationale 12 place de Verdun 81000 ALBI                       , Johnn Walter                               , il y a 7 mois     , 1   , Pas sre                                                                                                                                                                                                                                                                                                                 ,        ,        , ALBI
2    , Gendarmerie Nationale 12 place de Verdun 81000 ALBI                       , Ersan Demiri                               , il y a 10 mois    , 1   , Cellule de GAV trs sale fait exprience aujourdhui pas de drap matela et cellule sale je recommande pas du tout mais plus celle de valences                                                                                                                                                                              ,        ,        , ALBI
3    , Gendarmerie Nationale 12 place de Verdun 81000 ALBI                       , Benoît Serré                               , il y a 2 ans      , 5   ,                                                                                                                                                                                                                                                                                                                         ,        ,        , ALBI
1    , Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES                       , Valentine FEUILLEBOIS                      , il y a 11 mois    , 2   , Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers                                                                                                                       , 48.1147, -1.6794, RENNES
1    , Gendarmerie Nationale 85 Bd Clémenceau 35000 RENNES                       , Valentine FEUILLEBOIS                      , il y a 11 mois    , 2   , Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers                                                                                                                       , 48.1147, -1.6794, RENNES
