Index;Adresse;Auteur;Date;Note;Commentaire
10;Gendarmerie Nationale 8 rue du professeur Roux 88000 EPINAL;Celine Cheval;il y a 2 ans;5;Vous etes juste tellement droles et vous parvenez dans un meme temps a faire passer vos messages de prevention Ne changez rien  
1;Gendarmerie Nationale 20bis Av de la libert� 15000 AURILLAC;genevieve brayat;il y a 8 mois;1;
2;Gendarmerie Nationale 20bis Av de la libert� 15000 AURILLAC;Gr�gory;il y a 8 mois;5;tres bien renseigne Merci
1;Gendarmerie Nationale 56 rue Sainte-Genevi�ve 30000 NIMES;Alvin Poveda;il y a un an;1;Ne valide pas les procurations pour voter Inhabituel pour une brigade de gendarmerie c est pourtant constitutionnelle
2;Gendarmerie Nationale 56 rue Sainte-Genevi�ve 30000 NIMES;Carole Pencole;il y a un an;5;Appel pour tapage nocturne ce samedi soir  st hyppolyte du fort problme regle en une grosse demiheure par l envoi dune patrouille Bravo et merci  la personne efficace et comprehensive qui ma accueillie au standard  et ce malgre une extinction de voix et encore merci  la patrouille pour la rapidite de son intervention
3;Gendarmerie Nationale 56 rue Sainte-Genevi�ve 30000 NIMES;Catarina Fabricante;il y a un an;2;
4;Gendarmerie Nationale 56 rue Sainte-Genevi�ve 30000 NIMES;Aurore Loubat;il y a un an;1;
5;Gendarmerie Nationale 56 rue Sainte-Genevi�ve 30000 NIMES;Audrey Guillot;il y a 2 ans;5;Pour une demandes de renseignements sur ce que j avais droit ou pas de faire pour un litige je suis tombe sur un gendarme qui avait des notions juridiques et qui a passe 30 minutes  repondre  mes questions tres agreable ca fait plaisir
1;Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH;Wiktor Berg;il y a 9 mois;1;
2;Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH;Adelio COSTA;il y a 9 mois;4;
3;Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH;Nicolas Baur;il y a un an;1;2358 1re appel au 15 pour signaler un homme qui vient de tomber sur la route  alcoolise 30 minutes plus tard 2 eme appel au 15 qui nous transfert  la gendarmerie dAuch ou une tres gentil dame nous dit clairement de laisser cet homme 
4;Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH;Larisa Dr?gu?in;il y a 2 ans;1;
5;Gendarmerie Nationale 2 rue Jean de la Fontaine 32000 AUCH;L Rigail;il y a 2 ans;5;
1;Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR;Louis Solesse;il y a 7 mois;5;N apprehendez pas d y aller   bon accueil  personnel professionnel et humain
2;Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR;Franck;il y a 8 mois;5;tres bon accueil telephonique grand sens du service public reponse adapte  la situation motivant mon appel Ca fait plaisir davoir affaire  des gens professionnels et  l ecoute
3;Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR;Nordman Gabin;il y a 8 mois;1;
4;Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR;Bryan Pfeifer;il y a 9 mois;5;
5;Gendarmerie Nationale 56 rue de la Cavalerie 68000 COLMAR;marilyne jost;il y a 2 ans;5;
1;Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER;Gr�gory;il y a un an;5;
2;Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER;Tom ODWROT;il y a un an;5;
3;Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER;Antonin Lopes;il y a 2 ans;5;
4;Gendarmerie Nationale 51 av Camille Prost 39000 LONS LE SAUNIER;Maxime Delacroix;il y a 2 ans;1;
1;Gendarmerie Nationale 12 place de Verdun 81000 ALBI;Johnn Walter;il y a 7 mois;1;
2;Gendarmerie Nationale 12 place de Verdun 81000 ALBI;Ersan Demiri;il y a 10 mois;1;
3;Gendarmerie Nationale 12 place de Verdun 81000 ALBI;Beno�t Serr�;il y a 2 ans;5;
1;Gendarmerie Nationale 85 bld Cl�menceau 35000 RENNES;Valentine FEUILLEBOIS;il y a 11 mois;2;Apparemment pas possible de faire un dpt de plainte Se faire refouler et par la police et la gendarmerie a fait beaucoup vive la Rpublique Pas tonnant quil y ait toujours autant de faits divers 
2;Gendarmerie Nationale 85 bld Cl�menceau 35000 RENNES;lisa crepieux;il y a un an;3;Personnel gentil mais absolument pas mentionn sur internet que la procuration est impossible sur place se dplacer pour rien c est quelque peu frustrant
1;Gendarmerie Nationale 118 rue de Paris 3000 MOULINS;dominique gay;il y a 8 mois;4;
2;Gendarmerie Nationale 118 rue de Paris 3000 MOULINS;Ro S;il y a 9 mois;1;j ai appel  ce jour le 13 aout 2022 a 13h pour signaler qu un chien dans une voiture  est en pleine canicule enferme sans ouverture le monsieur me repond quil ne gere pas cette zone et donc dappeler le 17 Je lui indique avoir appel 
3;Gendarmerie Nationale 118 rue de Paris 3000 MOULINS;Bastien Thomin;il y a 2 ans;5;tres bonne accueil et ecoutes
1;Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS;d mo;il y a 9 mois;5;
2;Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS;Clarisse veugle;il y a 2 ans;1;Appeler ce jour pour un renseignement de circulation apres 18h pour une personnes vulnerable literallement envoyer balader Je cite Madame nous ne sommes pas payer pour ca Whaouuuuu super le service a la personne nous rentrons vraiment que dans la verbalisation est rien dautre c est idnamissible
3;Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS;Earl Grey;il y a 2 ans;1;
4;Gendarmerie Nationale place du Champ de Mars 7000 PRIVAS;Evan De Sousa;il y a 2 ans;1;Appel pour signaler un vehicule abandonne et dangereux sur le bord de la route. Reponse de l operateur Appelez la brigade local ce nest pas mon boulot de la faire et cette personne me raccroche au nez Javais une autre opinion de la gendarmerie
1;Gendarmerie Nationale 81 Av du docteur Henri Go�t 11000 CARCASSONNE;samuel blondin;il y a 9 mois;5;
2;Gendarmerie Nationale 81 Av du docteur Henri Go�t 11000 CARCASSONNE;soona senin;il y a 2 ans;1;
1;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Mathis _vrcc;il y a 10 mois;5;
2;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Aur�lie Martin;il y a 10 mois;5;Merci beaucoup de l aide du soutien et de l ecoute dont vous avez fait preuve lorsque des membres de ma famille sont venus deposer plaintes 
3;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Tiphanie M;il y a 11 mois;5;Parfait Je me suis deplace pour finaliser une procuration internet pour les elections Je suis tombe sur une personne tres agreable et tres professionnelle  Merci monsieur davoir pris mon dossier meme un jour ferie C etait tres gentil de votre part  
4;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;TNT;il y a un an;5;De bon conseil accueil parfait Merci
5;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Guillaume Farbos;il y a un an;1;
6;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Mayan Rousseau;il y a un an;1;
7;Gendarmerie Nationale 2 bld de l�artillerie 16000 ANGOULEME;Marielouise16;il y a 2 ans;1;Accueil telephonique lamentable.  Aucun deplacement de la police Si besoin il faut se debrouiller 
1;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;Ad 21;il y a un an;1;
2;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;Ronan Marin;il y a un an;5;
3;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;St�phane Gandour;il y a 2 ans;5;
4;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;Fab B;il y a 2 ans;5;Batiments plus que vetustes Perso jy vais en visiteur et c est franchement suffisant 
5;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;chanard pastis;il y a 2 ans;5;
8;Gendarmerie Nationale 30 bld Mar�chal Joffre 21000 DIJON;Noel Charlopin;il y a 2 ans;4;
1;Gendarmerie Nationale 2 route de Corbigny 23000 GUERET;Louizi;il y a 7 mois;4;Les lieux manquent de decorations mais le personnel est plus accueillant que lon ne l imagine
2;Gendarmerie Nationale 2 route de Corbigny 23000 GUERET;V Wolfs;il y a 2 ans;4;
1;Gendarmerie Nationale av Dupr� de Loire 26000 VALENCE;Christine K;il y a 11 mois;4;
1;Gendarmerie Nationale 124 av du g�n�ral Sarrail 51000 CHALONS EN CHAMPAGNE;Nourdine Chioukh;il y a un an;3;Merci pour votre travail et merci de nous faire attendre sous la pluie  
2;Gendarmerie Nationale 124 av du g�n�ral Sarrail 51000 CHALONS EN CHAMPAGNE;Anthony Chantier;il y a un an;5;Merci pour votre travail
3;Gendarmerie Nationale 124 av du g�n�ral Sarrail 51000 CHALONS EN CHAMPAGNE;renaudet anne laure;il y a un an;5;
1;Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN;lizzie cls;il y a 8 mois;1;
2;Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN;Myriam Pernot;il y a un an;1;Refusent les procurations alors que c est leur devoir  Merci de votre service public 
4;Gendarmerie Nationale 75ter av Marceau Hamecher 82000 MONTAUBAN;Ryad Boutiayer;il y a 2 ans;5;
1;Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE;batmurjas;il y a un an;5;
2;Gendarmerie Nationale 168 Av Sainte-Marguerite 6000 NICE;Coralie Schluter;il y a un an;5;
